7174.7,6931.7,21174,9982.4,13017,18918,11769,8158.3,5756.7,7499.1,4965.7,6085.5,4603.1,7453.2,5653.2,4498.4,3598.6,1742.1,1218.2,3127.1,1066.3,2075.5,6032,4921.1,2536.1,1283.3,989.19,581.2,4072.6,1533.3,781.22,1197.5,509.56,301.27,153.11,174.81,271.18,274.36,83.633,23.125,12.526,38.32,107.08,107.08,514.68,822.7,653.87,809.91,5040.5,3271.5,3302.6,6268.1
7015.5,6107.4,5290.3,3402.3,2232.4,2129.9,2892.1,3083.3,3432.5,4448.4,3097,5287.2,9763,25016,11033,6803.9,7156.4,7100.6,16688,7402.1,28780,3668.2,1047.4,1037.9,911.22,583.42,835.42,2136,784.82,5342.6,10599,12804,16168,33120,9222.4,1309.3,762.15,644.24,742.61,293.78,278.99,413.49,309.98,413.74,416.94,451.08,428.08,950.83,3876,5491.9,5431.7,10633
9619.6,45854,7109,5024,11946,10351,9560.2,7398.2,4610.2,37389,7896.6,8141.6,11688,7421,5579.6,3349.4,3827,5062.2,3791.1,4034.2,2750.1,3040.7,1922.6,12366,5487,5188,859.18,579.29,914.66,462.84,1288.2,2822.9,1012,754.42,504.5,1327.6,402.91,487.37,1116,1041.6,1337.2,26039,5407.6,6231.6,9370.6,6404.4,6788,9090.5,5411,14782,14758,57890
18783,17268,10647,8176.6,7701.6,10352,16799,16025,7213.4,5293.6,4864.8,10589,5449.3,4975.2,7571.7,10635,6141,2146.8,2406,1676.9,954.59,2107.3,781.49,729.07,390.23,600.19,382.83,552.42,538.91,426.34,1450.4,2073.4,2992.5,2522,2218,5518.7,1226.7,749.18,451.52,306.99,194.07,287.91,195.29,219.67,236.99,231.59,214.16,211.49,302.09,333.49,346.04,408.85
424.38,521.07,561.68,458.2,683.55,597.75,589.01,651.75,12282,11829,2307,5014.3,12730,7729,31015,10755,4811.4,1783.5,830.3,5362.7,2544.1,11120,21634,6249.5,4239.3,1870.6,2471.1,6617.5,1627,6802.7,7470.8,1540,1015.9,2143.9,4926,14134,12072,15408,4012.8,3898.6,2184.2,1505.4,1359.1,2595.9,4054.6,3450.6,5025.5,27671,16202,4510.1,7682.2,6132.1
13618,12059,7007.5,15771,7375,7535.1,18962,11604,7400.4,7999.2,26242,10175,30543,24171,10798,12776,12451,4503.7,4980.4,5546.9,7002.2,2061.7,1262.3,1404.9,976.46,583.42,991.68,2413.3,3002.1,2235.6,727.13,555.68,382.43,501.03,811.66,19137,8086.9,3414.7,3152.7,769.74,718.87,806.75,820.12,1784.6,3637.5,7673.6,3230,3792.6,3717.1,6523.9,4526.8,3310.6
40795,33776,44892,16498,9124.8,19944,61240,20093,9545.2,8012.4,19685,43750,21548,62650,55279,14483,11041,4283,1846.2,1691.9,1248,1246.9,1999.8,5847.1,17696,5453.2,1644.8,1317.2,2902.8,7118.4,6655.2,14627,3926.6,2466,3845.6,1350,1454.5,1071.4,1065.2,17123,5014.2,8541.4,3448.6,1946.7,1824.6,3007.4,1916.1,2352.6,6639.7,19090,19174,11558
57495,16345,31936,25970,21574,16073,15277,16043,12903,10133,9460.6,9558.6,9154,10603,10689,5762.1,24473,7861.7,3578.5,6558,2185.7,2041.2,1721.2,1041.5,1075.8,642.52,1330.3,1095.8,1557.2,864.79,2778.8,1990.9,7042.7,4127.3,12332,9349.3,3780.2,1616.2,1672.2,3122.4,1595,874.76,1316.8,1665.7,1312.7,2814.9,1283.7,1560.4,1672.1,1556.9,1583,3065.1
7646.5,7355.3,4098.3,4935.3,3287,2191.7,2274.9,3106.2,3727.6,7456.3,6579,3626.7,3322.4,8125.6,10236,6600.5,4775.7,2696.4,1919,3305.1,4294.7,3748.2,3384.4,1971.1,6714.2,7947.4,10381,4702.6,4873.8,32002,3752.2,3759.1,1591.7,1128.5,1324.2,1775.1,1769,2421.2,1730.3,606.52,412.29,420.82,684.37,715.22,1105,1001.8,7339.7,2834.5,7995.7,6021.6,3239.8,10859
6559.8,6813.5,7945.8,7006.7,20185,43579,41488,18732,52309,15731,22508,12774,12090,10077,6904.5,7042.3,7092.3,15626,4223.8,3033.5,3446.3,2132.8,1872.6,2411.8,1273.5,1184,3485.1,1558.6,7765.9,5912,6982,9220.3,31787,27673,16701,3460,2256.6,2115.8,1910.4,1552.7,1024.8,871.84,790.27,1033.5,1169.4,918.68,1394.8,1040.1,1181.3,1205.4,1332.4,3209.7
