0,0,0,0,3.29791e+06,571913,0,0,3.7067e+06,1.30063e+06,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,3.58117e+06,466033,0,0,0,1.523e+06,0,0,0,3.18172e+06,0,0,0,0,0,0,0
2.72262e+06,169720,0,2.60379e+06,0,0,0,2.61827e+06,0,0,1.66381e+06,0,3.65443e+06,0,0,0,0,2.92066e+06,0,3.84321e+06,0
0,0,0,0,0,0,0,3.45115e+06,0,0,0,0,0,0,0,0,2.52123e+06,0,0,4.72131e+06,0
0,0,0,3.0607e+06,0,0,0,0,0,0,0,4.25847e+06,1.38482e+06,2.98225e+06,2.95539e+06,0,0,3.72965e+06,0,0,0
0,0,0,2.94493e+06,0,0,0,3.45362e+06,881427,2.66864e+06,0,0,0,0,0,0,0,0,0,4.14177e+06,0
0,0,1.91424e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.41491e+06,679321,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.91189e+06,0,0,3.21986e+06,1.0346e+06,0
0,0,0,0,0,0,3.25467e+06,0,0,0,0,0,1.17102e+06,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,3.07445e+06,0,0,0,0,0,0,0,0,0,0,0,5.43233e+06,0
